username,gender,label,prediction
imamusaller,NB,NOT F,NOT F
lilamayhiggins,F,F,NOT F
jonosapien,M,NOT F,F
EdConsult01581,F,F,NOT F
TheOneTAR,NB,NOT F,NOT F
akeisha09,F,F,NOT F
JeremyCShipp,NB,NOT F,F
SheWasHer,F,F,F
jvlioedel,NB,NOT F,NOT F
_MistyGraves_,NB,NOT F,NOT F
dodgethistweet,M,NOT F,NOT F
JuliusGoat,M,NOT F,NOT F
MrJoeJenkins,M,NOT F,NOT F
philcritchley,M,NOT F,NOT F
BilldeBlasio,M,NOT F,NOT F
gwtrev,M,NOT F,NOT F
ogflavorsstan,NB,NOT F,NOT F
darcy,M,NOT F,NOT F
kevinlwei,NB,NOT F,F
sunildasgupta4,M,NOT F,NOT F
2014ORTOY,M,NOT F,NOT F
angraleigh,F,F,NOT F
__livvv_,F,F,F
riccjohn,M,NOT F,NOT F
milokp,NB,NOT F,NOT F
KevinYa13099403,M,NOT F,NOT F
almost5feet,F,F,F
TheWallner,F,F,F
d0tdotter,NB,NOT F,F
DN_Bryn,NB,NOT F,NOT F
bensheldon,M,NOT F,NOT F
Swell09,F,F,NOT F
kristanshawgo,F,F,NOT F
kim_hoyos,F,F,NOT F
ArtioMurphy,NB,NOT F,F
NadkarniNamrata,F,F,F
jana_aych_ess,NB,NOT F,F
BlakeleyJenn,F,F,NOT F
AN_Goldstein,F,F,NOT F
Jen_Ingham,F,F,F
leahtova,NB,NOT F,NOT F
HistoryMuppet,M,NOT F,NOT F
PonderEducation,M,NOT F,NOT F
JeremyCShipp,NB,NOT F,F
WispsOfLove,NB,NOT F,NOT F
WritNelson,M,NOT F,NOT F
JeremyCShipp,NB,NOT F,NOT F
rlorenxo,NB,NOT F,NOT F
CindyPAndrew1,F,F,NOT F
austen_writes_,NB,NOT F,NOT F
khal_essie,F,F,NOT F
RisukaMisai,NB,NOT F,F
inspirasian51,NB,NOT F,NOT F
BlueRoseNZ,F,F,NOT F
trechriron,M,NOT F,NOT F
_mpoe,NB,NOT F,F
lalonsocorona,NB,NOT F,NOT F
wilko_lauren,NB,NOT F,NOT F
cluelessthembo,NB,NOT F,NOT F
hesterchill,NB,NOT F,NOT F
FamDoc_Forest,F,F,NOT F
theMattDouglas,M,NOT F,F
Khoshtistic,M,NOT F,NOT F
prickly_boi,NB,NOT F,NOT F
lbdehertogh,F,F,NOT F
KateLechler,F,F,F
NadkarniNamrata,F,F,NOT F
zachhynes,M,NOT F,F
TwitchWasHere,NB,NOT F,NOT F
JessiHonard,F,F,NOT F
Maybe_Ketamine,F,F,F
Merc_Wolfmoor,NB,NOT F,F
shesthefirst,F,F,F
JoEatsFood,NB,NOT F,NOT F
JasonCMarvin,M,NOT F,NOT F
clubnobbie,M,NOT F,NOT F
CindyPAndrew1,F,F,NOT F
VioletFireBee,NB,NOT F,NOT F
CommsGeekJamie,F,F,F
centralscot,M,NOT F,NOT F
nicycle,F,F,NOT F
hawklord2112,M,NOT F,NOT F
goth_theyfriend,NB,NOT F,NOT F
SpenserStarke,M,NOT F,NOT F
nylah_reviews,F,F,NOT F
theMattDouglas,M,NOT F,F
jmugele,M,NOT F,F
chordaetendinae,NB,NOT F,F
darcy,M,NOT F,NOT F
JamilaMHammami,NB,NOT F,NOT F
thicket,F,F,NOT F
_mpoe,NB,NOT F,F
dm56892,NB,NOT F,NOT F
gojirama,F,F,F
TisforTMI,F,F,F
SunshineChasing,F,F,NOT F
mr_shiny,M,NOT F,NOT F
alisonailea,NB,NOT F,NOT F
mcnees,M,NOT F,F
dogbitebaby,NB,NOT F,NOT F
They_Goblin,NB,NOT F,F
__livvv_,F,F,NOT F
msmegmassey,F,F,F
imamusaller,NB,NOT F,NOT F
newsmansimon,M,NOT F,NOT F
IndoorWTF,M,NOT F,F
zannalyons,F,F,NOT F
HistoryNed,M,NOT F,NOT F
JamilaMHammami,NB,NOT F,NOT F
Spatial_Punk,NB,NOT F,NOT F
BucketheadCase,M,NOT F,NOT F
lburkins,F,F,F
anthoknees,NB,NOT F,NOT F
catrocketship,NB,NOT F,NOT F
JeremyCShipp,NB,NOT F,NOT F
TrackerJessica,F,F,F
Ironjotun,F,F,F
wilko_lauren,NB,NOT F,NOT F
ShesHerOwnCEO,F,F,NOT F
James_C_Mccloy,M,NOT F,NOT F
BroussardRhonda,F,F,NOT F
TheyThemTheEli,NB,NOT F,NOT F
kim_alloway,NB,NOT F,NOT F
lilamayhiggins,F,F,NOT F
pastordj,M,NOT F,NOT F
graciedactyl,F,F,NOT F
DeNovo_Fatima,F,F,NOT F
RHicks,F,F,NOT F
gsnedders,NB,NOT F,F
anders_d_k,M,NOT F,F
marteki,F,F,NOT F
JohannesEvans,M,NOT F,NOT F
chrisgwilliams,M,NOT F,NOT F
Debbieterras,F,F,F
lilamayhiggins,F,F,NOT F
inspirasian51,NB,NOT F,NOT F
wyrdgaest,M,NOT F,F
PNambyar,NB,NOT F,F
LWPBdotnet,F,F,NOT F
gpshead,M,NOT F,F
Dr_Ronx,NB,NOT F,NOT F
hesterchill,NB,NOT F,NOT F
TimLumpkins,M,NOT F,NOT F
jvlioedel,NB,NOT F,NOT F
Kmlaffs,F,F,F
rlorenxo,NB,NOT F,NOT F
wilko_lauren,NB,NOT F,NOT F
KrisEmilyMD,F,F,F
gojirama,F,F,F
JVTrev,NB,NOT F,NOT F
TheBlackFemVeg,NB,NOT F,NOT F
TheyThemTheEli,NB,NOT F,NOT F
oakandfur,M,NOT F,NOT F
shamarbeverly,M,NOT F,NOT F
nickytonline,M,NOT F,NOT F
Candi,F,F,NOT F
mawillcockson,NB,NOT F,F
debdef,F,F,NOT F
chordaetendinae,NB,NOT F,NOT F
Casually_Jay,M,NOT F,NOT F
alisonailea,NB,NOT F,NOT F
roeldobbe,M,NOT F,NOT F
wilko_lauren,NB,NOT F,NOT F
wilko_lauren,NB,NOT F,NOT F
Scuffsta,NB,NOT F,NOT F
isaacangelz,NB,NOT F,F
allyrosecoll,F,F,NOT F
pastriesandcake,F,F,NOT F
kercoby,NB,NOT F,NOT F
momdragana,M,NOT F,F
Casually_Jay,M,NOT F,NOT F
ryanlpainter,M,NOT F,NOT F
Nylons,F,F,F
JessiHonard,F,F,NOT F
cwalterswrite,M,NOT F,NOT F
josueisbaby,NB,NOT F,NOT F
lilamayhiggins,F,F,NOT F
CommsGeekJamie,F,F,F
lburkins,F,F,F
Ravelyn,F,F,NOT F
amyunchained,NB,NOT F,F
MyQueerAccount,NB,NOT F,F
andreacollier,F,F,NOT F
