username,gender,label,prediction
imamusaller,NB,NOT F,NOT F
lilamayhiggins,F,F,F
jonosapien,M,NOT F,NOT F
EdConsult01581,F,F,NOT F
TheOneTAR,NB,NOT F,NOT F
akeisha09,F,F,NOT F
JeremyCShipp,NB,NOT F,NOT F
SheWasHer,F,F,F
jvlioedel,NB,NOT F,NOT F
_MistyGraves_,NB,NOT F,NOT F
dodgethistweet,M,NOT F,NOT F
JuliusGoat,M,NOT F,NOT F
MrJoeJenkins,M,NOT F,F
philcritchley,M,NOT F,NOT F
BilldeBlasio,M,NOT F,NOT F
gwtrev,M,NOT F,NOT F
ogflavorsstan,NB,NOT F,NOT F
darcy,M,NOT F,F
kevinlwei,NB,NOT F,NOT F
sunildasgupta4,M,NOT F,F
2014ORTOY,M,NOT F,NOT F
angraleigh,F,F,NOT F
__livvv_,F,F,NOT F
riccjohn,M,NOT F,NOT F
milokp,NB,NOT F,NOT F
KevinYa13099403,M,NOT F,NOT F
almost5feet,F,F,NOT F
TheWallner,F,F,NOT F
d0tdotter,NB,NOT F,F
DN_Bryn,NB,NOT F,NOT F
bensheldon,M,NOT F,NOT F
Swell09,F,F,NOT F
kristanshawgo,F,F,F
kim_hoyos,F,F,NOT F
ArtioMurphy,NB,NOT F,NOT F
NadkarniNamrata,F,F,F
jana_aych_ess,NB,NOT F,NOT F
BlakeleyJenn,F,F,F
AN_Goldstein,F,F,F
Jen_Ingham,F,F,F
leahtova,NB,NOT F,NOT F
HistoryMuppet,M,NOT F,NOT F
PonderEducation,M,NOT F,NOT F
JeremyCShipp,NB,NOT F,NOT F
WispsOfLove,NB,NOT F,NOT F
WritNelson,M,NOT F,NOT F
JeremyCShipp,NB,NOT F,NOT F
rlorenxo,NB,NOT F,F
CindyPAndrew1,F,F,F
austen_writes_,NB,NOT F,NOT F
khal_essie,F,F,NOT F
RisukaMisai,NB,NOT F,NOT F
inspirasian51,NB,NOT F,NOT F
BlueRoseNZ,F,F,NOT F
trechriron,M,NOT F,F
_mpoe,NB,NOT F,NOT F
lalonsocorona,NB,NOT F,NOT F
wilko_lauren,NB,NOT F,F
cluelessthembo,NB,NOT F,NOT F
hesterchill,NB,NOT F,F
FamDoc_Forest,F,F,F
theMattDouglas,M,NOT F,NOT F
Khoshtistic,M,NOT F,NOT F
prickly_boi,NB,NOT F,NOT F
lbdehertogh,F,F,NOT F
KateLechler,F,F,NOT F
NadkarniNamrata,F,F,F
zachhynes,M,NOT F,NOT F
TwitchWasHere,NB,NOT F,NOT F
JessiHonard,F,F,F
Maybe_Ketamine,F,F,NOT F
Merc_Wolfmoor,NB,NOT F,NOT F
shesthefirst,F,F,F
JoEatsFood,NB,NOT F,NOT F
JasonCMarvin,M,NOT F,NOT F
clubnobbie,M,NOT F,NOT F
CindyPAndrew1,F,F,F
VioletFireBee,NB,NOT F,F
CommsGeekJamie,F,F,F
centralscot,M,NOT F,F
nicycle,F,F,F
hawklord2112,M,NOT F,NOT F
goth_theyfriend,NB,NOT F,F
SpenserStarke,M,NOT F,NOT F
nylah_reviews,F,F,F
theMattDouglas,M,NOT F,F
jmugele,M,NOT F,NOT F
chordaetendinae,NB,NOT F,NOT F
darcy,M,NOT F,F
JamilaMHammami,NB,NOT F,NOT F
thicket,F,F,NOT F
_mpoe,NB,NOT F,NOT F
dm56892,NB,NOT F,NOT F
gojirama,F,F,NOT F
TisforTMI,F,F,NOT F
SunshineChasing,F,F,F
mr_shiny,M,NOT F,NOT F
alisonailea,NB,NOT F,NOT F
mcnees,M,NOT F,NOT F
dogbitebaby,NB,NOT F,NOT F
They_Goblin,NB,NOT F,NOT F
__livvv_,F,F,NOT F
msmegmassey,F,F,F
imamusaller,NB,NOT F,NOT F
newsmansimon,M,NOT F,F
IndoorWTF,M,NOT F,NOT F
zannalyons,F,F,F
HistoryNed,M,NOT F,NOT F
JamilaMHammami,NB,NOT F,F
Spatial_Punk,NB,NOT F,NOT F
BucketheadCase,M,NOT F,NOT F
lburkins,F,F,NOT F
anthoknees,NB,NOT F,NOT F
catrocketship,NB,NOT F,NOT F
JeremyCShipp,NB,NOT F,NOT F
TrackerJessica,F,F,NOT F
Ironjotun,F,F,NOT F
wilko_lauren,NB,NOT F,F
ShesHerOwnCEO,F,F,F
James_C_Mccloy,M,NOT F,NOT F
BroussardRhonda,F,F,F
TheyThemTheEli,NB,NOT F,NOT F
kim_alloway,NB,NOT F,NOT F
lilamayhiggins,F,F,F
pastordj,M,NOT F,F
graciedactyl,F,F,NOT F
DeNovo_Fatima,F,F,F
RHicks,F,F,NOT F
gsnedders,NB,NOT F,NOT F
anders_d_k,M,NOT F,NOT F
marteki,F,F,NOT F
JohannesEvans,M,NOT F,NOT F
chrisgwilliams,M,NOT F,NOT F
Debbieterras,F,F,F
lilamayhiggins,F,F,F
inspirasian51,NB,NOT F,NOT F
wyrdgaest,M,NOT F,NOT F
PNambyar,NB,NOT F,NOT F
LWPBdotnet,F,F,NOT F
gpshead,M,NOT F,NOT F
Dr_Ronx,NB,NOT F,NOT F
hesterchill,NB,NOT F,NOT F
TimLumpkins,M,NOT F,F
jvlioedel,NB,NOT F,NOT F
Kmlaffs,F,F,F
rlorenxo,NB,NOT F,NOT F
wilko_lauren,NB,NOT F,F
KrisEmilyMD,F,F,F
gojirama,F,F,NOT F
JVTrev,NB,NOT F,NOT F
TheBlackFemVeg,NB,NOT F,NOT F
TheyThemTheEli,NB,NOT F,NOT F
oakandfur,M,NOT F,NOT F
shamarbeverly,M,NOT F,NOT F
nickytonline,M,NOT F,NOT F
Candi,F,F,F
mawillcockson,NB,NOT F,NOT F
debdef,F,F,NOT F
chordaetendinae,NB,NOT F,F
Casually_Jay,M,NOT F,NOT F
alisonailea,NB,NOT F,NOT F
roeldobbe,M,NOT F,NOT F
wilko_lauren,NB,NOT F,F
wilko_lauren,NB,NOT F,F
Scuffsta,NB,NOT F,F
isaacangelz,NB,NOT F,NOT F
allyrosecoll,F,F,F
pastriesandcake,F,F,NOT F
kercoby,NB,NOT F,NOT F
momdragana,M,NOT F,NOT F
Casually_Jay,M,NOT F,NOT F
ryanlpainter,M,NOT F,F
Nylons,F,F,F
JessiHonard,F,F,F
cwalterswrite,M,NOT F,F
josueisbaby,NB,NOT F,NOT F
lilamayhiggins,F,F,F
CommsGeekJamie,F,F,F
lburkins,F,F,F
Ravelyn,F,F,F
amyunchained,NB,NOT F,NOT F
MyQueerAccount,NB,NOT F,NOT F
andreacollier,F,F,F
anders_d_k,M,NOT F,NOT F
rob_kabobb,M,NOT F,NOT F
dm56892,NB,NOT F,F
ScritchfieldRD,F,F,F
TonyChatman,M,NOT F,NOT F
immacuIatechaos,NB,NOT F,NOT F
peachmakkoli,NB,NOT F,NOT F
StephenGKrueger,NB,NOT F,NOT F
UA_Mr_Harrell,M,NOT F,NOT F
gpshead,M,NOT F,F
KevinIrvineChi,M,NOT F,NOT F
M_A_Ormerod,M,NOT F,F
IncredibleHulko,F,F,F
jguard_24,M,NOT F,NOT F
tiffanymjewell,F,F,NOT F
JuliusGoat,M,NOT F,NOT F
RachEttinger,F,F,NOT F
vinayaravind,M,NOT F,NOT F
nagnagnag,M,NOT F,NOT F
brenda_slomka,F,F,NOT F
meaganintx,F,F,NOT F
becky__wong,F,F,F
BeckyAnnison,F,F,F
AshleyThaoDam,NB,NOT F,NOT F
SParSuperStar,F,F,F
DanitheEngineer,F,F,F
JennaMagnuski,F,F,NOT F
zannalyons,F,F,F
goldman,M,NOT F,NOT F
AtomicFirebird,NB,NOT F,NOT F
gantpants,M,NOT F,NOT F
_runfatgirlrun,F,F,NOT F
Echo_Heo,NB,NOT F,NOT F
annaecook,F,F,NOT F
ShannonNara,F,F,F
grooveplex,M,NOT F,NOT F
abbsnocon,F,F,NOT F
wilko_lauren,NB,NOT F,F
belchetron,M,NOT F,F
MillennialXpert,F,F,F
dm56892,NB,NOT F,NOT F
zannalyons,F,F,NOT F
m__fluke,NB,NOT F,NOT F
AliceSkary,NB,NOT F,NOT F
pastriesandcake,F,F,F
hawklord2112,M,NOT F,NOT F
TimLumpkins,M,NOT F,F
AlexHarrowSFF,NB,NOT F,NOT F
chic0junit,M,NOT F,F
philcritchley,M,NOT F,NOT F
prmorphine,M,NOT F,NOT F
jguard_24,M,NOT F,F
llimcole,F,F,F
HistoryNed,M,NOT F,NOT F
EEADHorne,F,F,F
nicycle,F,F,NOT F
RisukaMisai,NB,NOT F,NOT F
mcnees,M,NOT F,NOT F
CHeartsTrees,F,F,F
thegaythey,NB,NOT F,NOT F
sorenwork,NB,NOT F,F
Stacyc55,F,F,F
TonyChatman,M,NOT F,NOT F
TheWallner,F,F,F
leahtova,NB,NOT F,NOT F
Mr_He_Me_Him,M,NOT F,NOT F
gauravsabnis,M,NOT F,NOT F
maxmasure,NB,NOT F,NOT F
helllpapii,NB,NOT F,NOT F
camikaos,F,F,NOT F
carr_8,F,F,F
anthoknees,NB,NOT F,NOT F
IndoorWTF,M,NOT F,NOT F
TheAtomicMommy,F,F,F
They_Goblin,NB,NOT F,NOT F
2014ORTOY,M,NOT F,NOT F
Rebecca__Rouse,F,F,F
HerArtSheLoves,F,F,NOT F
kim_hoyos,F,F,NOT F
2014ORTOY,M,NOT F,F
MsMandyJ,F,F,NOT F
justjerdi,F,F,F
KrisEmilyMD,F,F,F
tstockstein,F,F,F
TrinityTheTuck,NB,NOT F,NOT F
TallTechy,F,F,NOT F
anuomni,NB,NOT F,NOT F
fleshloathe,NB,NOT F,NOT F
niamhnichuilinn,F,F,F
efboltz,F,F,NOT F
BryanLakatos,M,NOT F,F
TheBlackFemVeg,NB,NOT F,F
geexella,NB,NOT F,NOT F
teachingmissk,F,F,F
Candi,F,F,F
smolqueerdragon,F,F,NOT F
blanketperson,M,NOT F,NOT F
sjw_LauraKinney,NB,NOT F,NOT F
Whilhorst,M,NOT F,NOT F
ogflavorsstan,NB,NOT F,NOT F
IanCrookshank,M,NOT F,NOT F
kristanshawgo,F,F,NOT F
EliPresidente,M,NOT F,NOT F
burst0fhope,NB,NOT F,NOT F
M_A_Ormerod,M,NOT F,NOT F
_GreyWhite,NB,NOT F,NOT F
kim_hoyos,F,F,NOT F
RLynneHarris,F,F,F
WritNelson,M,NOT F,NOT F
ShannonNara,F,F,F
RiderOfBrohon,NB,NOT F,NOT F
LELIAHSADE,NB,NOT F,NOT F
HESherman,M,NOT F,NOT F
AddieDomske,F,F,NOT F
DonnaSteff,F,F,F
lizfromsela,F,F,F
Theclairrock,NB,NOT F,NOT F
KateLechler,F,F,NOT F
MeeraCK,F,F,F
gauravsabnis,M,NOT F,F
brittnhasty,F,F,F
FamDoc_Forest,F,F,F
JohannesEvans,M,NOT F,NOT F
DomDiFurio,M,NOT F,NOT F
Jen_Ingham,F,F,F
shelvethebooks,NB,NOT F,NOT F
pancake_bitch,NB,NOT F,NOT F
BlueRoseNZ,F,F,NOT F
mischief_nerd,NB,NOT F,NOT F
justjerdi,F,F,F
PNambyar,NB,NOT F,NOT F
victoriagrows,NB,NOT F,NOT F
RHicks,F,F,F
chordaetendinae,NB,NOT F,F
immacuIatechaos,NB,NOT F,NOT F
VioletFireBee,NB,NOT F,NOT F
RaymondForbes,M,NOT F,NOT F
inspirasian51,NB,NOT F,NOT F
JonathanJR732,M,NOT F,F
hiddeninabook,F,F,F
HistoryNed,M,NOT F,NOT F
EviKline,F,F,NOT F
TheVersian,NB,NOT F,NOT F
JAMEE_NICOLEE,NB,NOT F,NOT F
TheJasonGreene,M,NOT F,F
peachmakkoli,NB,NOT F,NOT F
DN_Bryn,NB,NOT F,NOT F
RisukaMisai,NB,NOT F,NOT F
dogbitebaby,NB,NOT F,NOT F
RobKendt,M,NOT F,NOT F
juniperinlatin,NB,NOT F,NOT F
Kolonakimou,NB,NOT F,NOT F
adapperprof,F,F,NOT F
burst0fhope,NB,NOT F,NOT F
dudleypj,M,NOT F,NOT F
HESherman,M,NOT F,F
brittnhasty,F,F,F
underscoretire,M,NOT F,NOT F
RLynneHarris,F,F,F
jathko,M,NOT F,NOT F
RLynneHarris,F,F,F
bensheldon,M,NOT F,NOT F
imamusaller,NB,NOT F,F
MsMandyJ,F,F,F
ellenblunsdon,F,F,NOT F
suffolkvicar,M,NOT F,NOT F
smolnswole,NB,NOT F,NOT F
prickly_boi,NB,NOT F,NOT F
JAMEE_NICOLEE,NB,NOT F,NOT F
KateEMontgomery,F,F,NOT F
_runfatgirlrun,F,F,NOT F
mjgiarlo,M,NOT F,NOT F
CherylRainfield,F,F,F
BilldeBlasio,M,NOT F,NOT F
CABreretonKY,F,F,NOT F
TawnyRoseCase,NB,NOT F,NOT F
almost5feet,F,F,F
AndiDealsPoker,F,F,F
jamsternazzy,NB,NOT F,NOT F
QuirkyQwerssie,NB,NOT F,NOT F
RachEttinger,F,F,NOT F
ClariceDAiello,F,F,F
gpshead,M,NOT F,F
momdragana,M,NOT F,NOT F
Zenorobster,M,NOT F,F
LeslieJoy1,F,F,NOT F
PupTetris,NB,NOT F,NOT F
M_A_Ormerod,M,NOT F,NOT F
Rebecca__Rouse,F,F,F
zannalyons,F,F,NOT F
davemusson,M,NOT F,NOT F
wilko_lauren,NB,NOT F,NOT F
vinayaravind,M,NOT F,NOT F
jamsternazzy,NB,NOT F,NOT F
thegaythey,NB,NOT F,NOT F
startupjedi,M,NOT F,NOT F
carriefox,F,F,F
sekisetsu,NB,NOT F,NOT F
M_A_Ormerod,M,NOT F,F
traviszinnel,M,NOT F,F
DN_Bryn,NB,NOT F,NOT F
theredseraph,M,NOT F,NOT F
graciedactyl,F,F,NOT F
Tsikbalichmaya,M,NOT F,NOT F
DanaeWriting,NB,NOT F,NOT F
JVTrev,NB,NOT F,NOT F
Candi,F,F,NOT F
gayspacepilot,NB,NOT F,NOT F
sunildasgupta4,M,NOT F,NOT F
TheOneTAR,NB,NOT F,NOT F
Kmlaffs,F,F,F
znmeb,M,NOT F,NOT F
