username,gender,label,prediction
imamusaller,NB,NB,NOT NB
lilamayhiggins,F,NOT NB,NOT NB
jonosapien,M,NOT NB,NOT NB
EdConsult01581,F,NOT NB,NOT NB
TheOneTAR,NB,NB,NOT NB
akeisha09,F,NOT NB,NOT NB
JeremyCShipp,NB,NB,NOT NB
SheWasHer,F,NOT NB,NOT NB
jvlioedel,NB,NB,NOT NB
_MistyGraves_,NB,NB,NB
dodgethistweet,M,NOT NB,NOT NB
JuliusGoat,M,NOT NB,NOT NB
MrJoeJenkins,M,NOT NB,NOT NB
philcritchley,M,NOT NB,NOT NB
BilldeBlasio,M,NOT NB,NOT NB
gwtrev,M,NOT NB,NB
ogflavorsstan,NB,NB,NB
darcy,M,NOT NB,NOT NB
kevinlwei,NB,NB,NOT NB
sunildasgupta4,M,NOT NB,NOT NB
2014ORTOY,M,NOT NB,NOT NB
angraleigh,F,NOT NB,NOT NB
__livvv_,F,NOT NB,NOT NB
riccjohn,M,NOT NB,NOT NB
milokp,NB,NB,NOT NB
KevinYa13099403,M,NOT NB,NOT NB
almost5feet,F,NOT NB,NOT NB
TheWallner,F,NOT NB,NOT NB
d0tdotter,NB,NB,NOT NB
DN_Bryn,NB,NB,NB
bensheldon,M,NOT NB,NOT NB
Swell09,F,NOT NB,NOT NB
kristanshawgo,F,NOT NB,NOT NB
kim_hoyos,F,NOT NB,NOT NB
ArtioMurphy,NB,NB,NOT NB
NadkarniNamrata,F,NOT NB,NOT NB
jana_aych_ess,NB,NB,NB
BlakeleyJenn,F,NOT NB,NOT NB
AN_Goldstein,F,NOT NB,NOT NB
Jen_Ingham,F,NOT NB,NOT NB
leahtova,NB,NB,NOT NB
HistoryMuppet,M,NOT NB,NOT NB
PonderEducation,M,NOT NB,NOT NB
JeremyCShipp,NB,NB,NOT NB
WispsOfLove,NB,NB,NOT NB
WritNelson,M,NOT NB,NOT NB
JeremyCShipp,NB,NB,NB
rlorenxo,NB,NB,NB
CindyPAndrew1,F,NOT NB,NOT NB
austen_writes_,NB,NB,NB
khal_essie,F,NOT NB,NOT NB
RisukaMisai,NB,NB,NB
inspirasian51,NB,NB,NB
BlueRoseNZ,F,NOT NB,NB
trechriron,M,NOT NB,NOT NB
_mpoe,NB,NB,NOT NB
lalonsocorona,NB,NB,NOT NB
wilko_lauren,NB,NB,NOT NB
cluelessthembo,NB,NB,NOT NB
hesterchill,NB,NB,NOT NB
