username,gender,prediction
imamusaller,NB,M
lilamayhiggins,F,F
jonosapien,M,M
EdConsult01581,F,M
TheOneTAR,NB,M
akeisha09,F,F
JeremyCShipp,NB,M
SheWasHer,F,F
jvlioedel,NB,NB
_MistyGraves_,NB,NB
dodgethistweet,M,M
JuliusGoat,M,M
MrJoeJenkins,M,F
philcritchley,M,M
BilldeBlasio,M,M
gwtrev,M,M
ogflavorsstan,NB,NB
darcy,M,F
kevinlwei,NB,F
sunildasgupta4,M,F
2014ORTOY,M,M
angraleigh,F,M
__livvv_,F,M
riccjohn,M,M
milokp,NB,M
KevinYa13099403,M,M
almost5feet,F,M
TheWallner,F,M
d0tdotter,NB,F
DN_Bryn,NB,NB
bensheldon,M,M
Swell09,F,M
kristanshawgo,F,F
kim_hoyos,F,F
ArtioMurphy,NB,F
NadkarniNamrata,F,F
jana_aych_ess,NB,NB
BlakeleyJenn,F,F
AN_Goldstein,F,F
Jen_Ingham,F,F
leahtova,NB,NB
HistoryMuppet,M,M
PonderEducation,M,F
JeremyCShipp,NB,M
WispsOfLove,NB,M
WritNelson,M,M
JeremyCShipp,NB,NB
rlorenxo,NB,F
CindyPAndrew1,F,F
austen_writes_,NB,NB
khal_essie,F,NB
RisukaMisai,NB,NB
inspirasian51,NB,NB
BlueRoseNZ,F,NB
trechriron,M,F
_mpoe,NB,M
lalonsocorona,NB,NB
wilko_lauren,NB,F
cluelessthembo,NB,M
hesterchill,NB,F
FamDoc_Forest,F,F
theMattDouglas,M,F
Khoshtistic,M,NB
prickly_boi,NB,NB
lbdehertogh,F,M
KateLechler,F,NB
NadkarniNamrata,F,F
zachhynes,M,M
TwitchWasHere,NB,M
JessiHonard,F,F
Maybe_Ketamine,F,F
Merc_Wolfmoor,NB,NB
shesthefirst,F,F
JoEatsFood,NB,NB
JasonCMarvin,M,M
clubnobbie,M,M
CindyPAndrew1,F,F
VioletFireBee,NB,F
CommsGeekJamie,F,F
centralscot,M,F
nicycle,F,F
hawklord2112,M,M
goth_theyfriend,NB,F
SpenserStarke,M,M
nylah_reviews,F,F
theMattDouglas,M,F
jmugele,M,F
chordaetendinae,NB,F
darcy,M,F
JamilaMHammami,NB,F
thicket,F,NB
_mpoe,NB,NB
dm56892,NB,F
gojirama,F,F
TisforTMI,F,NB
SunshineChasing,F,F
mr_shiny,M,M
alisonailea,NB,NB
mcnees,M,M
dogbitebaby,NB,NB
They_Goblin,NB,NB
__livvv_,F,NB
msmegmassey,F,F
imamusaller,NB,M
newsmansimon,M,F
IndoorWTF,M,F
zannalyons,F,F
HistoryNed,M,M
JamilaMHammami,NB,F
Spatial_Punk,NB,NB
BucketheadCase,M,M
lburkins,F,M
anthoknees,NB,NB
catrocketship,NB,M
JeremyCShipp,NB,M
TrackerJessica,F,F
Ironjotun,F,M
wilko_lauren,NB,F
ShesHerOwnCEO,F,F
James_C_Mccloy,M,F
BroussardRhonda,F,F
TheyThemTheEli,NB,NB
kim_alloway,NB,NB
lilamayhiggins,F,F
pastordj,M,F
graciedactyl,F,M
DeNovo_Fatima,F,F
RHicks,F,M
gsnedders,NB,M
anders_d_k,M,F
marteki,F,M
JohannesEvans,M,NB
chrisgwilliams,M,M
Debbieterras,F,F
lilamayhiggins,F,F
inspirasian51,NB,NB
wyrdgaest,M,NB
PNambyar,NB,M
LWPBdotnet,F,M
gpshead,M,F
Dr_Ronx,NB,NB
hesterchill,NB,M
TimLumpkins,M,F
jvlioedel,NB,NB
Kmlaffs,F,F
rlorenxo,NB,NB
wilko_lauren,NB,F
KrisEmilyMD,F,F
gojirama,F,NB
JVTrev,NB,NB
TheBlackFemVeg,NB,M
TheyThemTheEli,NB,NB
oakandfur,M,M
shamarbeverly,M,NB
nickytonline,M,F
Candi,F,F
mawillcockson,NB,M
debdef,F,F
chordaetendinae,NB,F
Casually_Jay,M,NB
alisonailea,NB,M
roeldobbe,M,M
wilko_lauren,NB,F
wilko_lauren,NB,F
Scuffsta,NB,F
isaacangelz,NB,NB
allyrosecoll,F,F
pastriesandcake,F,M
kercoby,NB,NB
momdragana,M,NB
Casually_Jay,M,NB
ryanlpainter,M,F
Nylons,F,F
JessiHonard,F,F
cwalterswrite,M,F
josueisbaby,NB,M
lilamayhiggins,F,F
CommsGeekJamie,F,F
lburkins,F,F
Ravelyn,F,F
amyunchained,NB,NB
MyQueerAccount,NB,NB
andreacollier,F,F
anders_d_k,M,NB
rob_kabobb,M,F
dm56892,NB,F
ScritchfieldRD,F,F
TonyChatman,M,M
immacuIatechaos,NB,NB
peachmakkoli,NB,NB
StephenGKrueger,NB,F
UA_Mr_Harrell,M,M
gpshead,M,F
KevinIrvineChi,M,F
M_A_Ormerod,M,F
IncredibleHulko,F,F
jguard_24,M,M
tiffanymjewell,F,F
JuliusGoat,M,M
RachEttinger,F,NB
vinayaravind,M,M
nagnagnag,M,M
brenda_slomka,F,M
meaganintx,F,M
becky__wong,F,F
BeckyAnnison,F,F
AshleyThaoDam,NB,NB
SParSuperStar,F,F
DanitheEngineer,F,F
JennaMagnuski,F,M
zannalyons,F,F
goldman,M,M
AtomicFirebird,NB,M
gantpants,M,NB
_runfatgirlrun,F,M
Echo_Heo,NB,NB
annaecook,F,NB
ShannonNara,F,F
grooveplex,M,M
abbsnocon,F,F
wilko_lauren,NB,F
belchetron,M,F
MillennialXpert,F,F
dm56892,NB,M
zannalyons,F,F
m__fluke,NB,NB
AliceSkary,NB,NB
pastriesandcake,F,F
hawklord2112,M,M
TimLumpkins,M,F
AlexHarrowSFF,NB,NB
chic0junit,M,F
philcritchley,M,M
prmorphine,M,M
jguard_24,M,F
llimcole,F,F
HistoryNed,M,M
EEADHorne,F,F
nicycle,F,M
RisukaMisai,NB,NB
mcnees,M,M
CHeartsTrees,F,F
thegaythey,NB,M
sorenwork,NB,F
Stacyc55,F,F
TonyChatman,M,M
TheWallner,F,F
leahtova,NB,NB
Mr_He_Me_Him,M,M
gauravsabnis,M,M
maxmasure,NB,NB
helllpapii,NB,NB
camikaos,F,NB
carr_8,F,F
anthoknees,NB,NB
IndoorWTF,M,M
TheAtomicMommy,F,F
They_Goblin,NB,NB
2014ORTOY,M,M
Rebecca__Rouse,F,F
HerArtSheLoves,F,M
kim_hoyos,F,F
2014ORTOY,M,F
MsMandyJ,F,F
justjerdi,F,F
KrisEmilyMD,F,F
tstockstein,F,F
TrinityTheTuck,NB,F
TallTechy,F,F
anuomni,NB,NB
fleshloathe,NB,NB
niamhnichuilinn,F,F
efboltz,F,M
BryanLakatos,M,F
TheBlackFemVeg,NB,F
geexella,NB,NB
teachingmissk,F,F
Candi,F,F
smolqueerdragon,F,NB
blanketperson,M,F
sjw_LauraKinney,NB,M
Whilhorst,M,M
ogflavorsstan,NB,NB
IanCrookshank,M,M
kristanshawgo,F,M
EliPresidente,M,M
burst0fhope,NB,M
M_A_Ormerod,M,F
_GreyWhite,NB,M
kim_hoyos,F,NB
RLynneHarris,F,F
WritNelson,M,M
ShannonNara,F,F
RiderOfBrohon,NB,NB
LELIAHSADE,NB,NB
HESherman,M,M
AddieDomske,F,NB
DonnaSteff,F,F
lizfromsela,F,F
Theclairrock,NB,F
KateLechler,F,NB
MeeraCK,F,F
gauravsabnis,M,F
brittnhasty,F,F
FamDoc_Forest,F,F
JohannesEvans,M,M
DomDiFurio,M,M
Jen_Ingham,F,F
shelvethebooks,NB,NB
pancake_bitch,NB,M
BlueRoseNZ,F,NB
mischief_nerd,NB,M
justjerdi,F,F
PNambyar,NB,NB
victoriagrows,NB,M
RHicks,F,F
chordaetendinae,NB,F
immacuIatechaos,NB,NB
VioletFireBee,NB,F
RaymondForbes,M,M
inspirasian51,NB,M
JonathanJR732,M,F
hiddeninabook,F,F
HistoryNed,M,M
EviKline,F,F
TheVersian,NB,M
JAMEE_NICOLEE,NB,M
TheJasonGreene,M,M
peachmakkoli,NB,F
DN_Bryn,NB,NB
RisukaMisai,NB,F
dogbitebaby,NB,NB
RobKendt,M,M
juniperinlatin,NB,NB
Kolonakimou,NB,M
adapperprof,F,NB
burst0fhope,NB,NB
dudleypj,M,NB
HESherman,M,F
brittnhasty,F,F
underscoretire,M,NB
RLynneHarris,F,F
jathko,M,M
RLynneHarris,F,F
bensheldon,M,M
imamusaller,NB,F
MsMandyJ,F,F
ellenblunsdon,F,NB
suffolkvicar,M,M
smolnswole,NB,M
prickly_boi,NB,NB
JAMEE_NICOLEE,NB,F
KateEMontgomery,F,F
_runfatgirlrun,F,NB
mjgiarlo,M,NB
CherylRainfield,F,F
BilldeBlasio,M,M
CABreretonKY,F,M
TawnyRoseCase,NB,NB
almost5feet,F,F
AndiDealsPoker,F,F
jamsternazzy,NB,NB
QuirkyQwerssie,NB,M
RachEttinger,F,M
ClariceDAiello,F,F
gpshead,M,F
momdragana,M,NB
Zenorobster,M,F
LeslieJoy1,F,F
PupTetris,NB,NB
M_A_Ormerod,M,M
Rebecca__Rouse,F,F
zannalyons,F,F
davemusson,M,F
wilko_lauren,NB,F
vinayaravind,M,M
jamsternazzy,NB,NB
thegaythey,NB,F
startupjedi,M,M
carriefox,F,F
sekisetsu,NB,NB
M_A_Ormerod,M,F
traviszinnel,M,F
DN_Bryn,NB,NB
theredseraph,M,M
graciedactyl,F,F
Tsikbalichmaya,M,M
DanaeWriting,NB,NB
JVTrev,NB,M
Candi,F,M
gayspacepilot,NB,NB
sunildasgupta4,M,M
TheOneTAR,NB,NB
Kmlaffs,F,F
znmeb,M,NB
catrocketship,NB,M
BeverlyYanuaria,F,F
isaacangelz,NB,M
RHicks,F,F
JamilaMHammami,NB,F
NadkarniNamrata,F,F
tiffanymjewell,F,NB
paymentsexpert,M,M
suffolkvicar,M,M
AddieDomske,F,F
fairytopialex,NB,NB
JasonCMarvin,M,M
CurtisCChen,M,M
smolnswole,NB,NB
Archainis,M,M
leilazadeh,F,M
TheVersian,NB,M
shengxiaoyu,F,F
pastordj,M,M
AKapilashrami,F,F
RaymondForbes,M,F
TheMudlily,F,F
ogflavorsstan,NB,NB
Aliwaba,F,M
thegaythey,NB,M
VioletFireBee,NB,F
newsmansimon,M,M
dalehirt,M,F
momdragana,M,NB
oakandfur,M,NB
